vehicleId,lat,lng,dateStored,velocity,odometer,engineVoltage,dateStoredHuman,dateOnlyStoredHuman,timeOnly,orientation
15,37.51077,22.3861833,1729072598000,25.0,0.0,5.247,2024-10-16 12:56:38,2024-10-16,12:56:38,West
15,37.5107133,22.3859416,1729072608000,21.0,0.0,5.245,2024-10-16 12:56:48,2024-10-16,12:56:48,West
15,37.5107333,22.3857116,1729072628000,16.0,0.0,5.247,2024-10-16 12:57:08,2024-10-16,12:57:08,Northeast
15,37.5108083,22.3858583,1729098839000,27.0,0.0,5.239,2024-10-16 20:13:59,2024-10-16,20:13:59,West
15,37.5108366,22.38559,1729098844000,25.0,0.0,5.232,2024-10-16 20:14:04,2024-10-16,20:14:04,West
15,37.5107616,22.3853099,1729098856000,33.0,0.0,5.245,2024-10-16 20:14:16,2024-10-16,20:14:16,Southwest
15,37.51062,22.3850533,1729098858000,43.0,0.0,5.245,2024-10-16 20:14:18,2024-10-16,20:14:18,West
15,37.5105583,22.384815,1729098860000,43.0,0.0,5.242,2024-10-16 20:14:20,2024-10-16,20:14:20,West
15,37.51048,22.3845616,1729098863000,32.0,0.0,5.224,2024-10-16 20:14:23,2024-10-16,20:14:23,Southwest
15,37.5103316,22.3843399,1729098867000,29.0,0.0,5.222,2024-10-16 20:14:27,2024-10-16,20:14:27,East
15,37.510805,22.3862116,1729099189000,15.0,0.0,5.238,2024-10-16 20:19:49,2024-10-16,20:19:49,West
15,37.5108066,22.3862016,1729099195000,6.0,0.0,5.223,2024-10-16 20:19:55,2024-10-16,20:19:55,East
15,37.5107583,22.38643,1729099202000,0.0,0.0,5.221,2024-10-16 20:20:02,2024-10-16,20:20:02,Southeast
15,37.510725,22.3865066,1729099206000,14.0,0.0,5.234,2024-10-16 20:20:06,2024-10-16,20:20:06,West
15,37.5107733,22.3862683,1729099211000,29.0,0.0,5.219,2024-10-16 20:20:11,2024-10-16,20:20:11,West
15,37.5108316,22.3860466,1729099215000,31.0,0.0,5.225,2024-10-16 20:20:15,2024-10-16,20:20:15,West
15,37.5108866,22.3858216,1729099217000,38.0,0.0,5.229,2024-10-16 20:20:17,2024-10-16,20:20:17,West
15,37.51087,22.3857466,1729099218000,36.0,0.0,5.229,2024-10-16 20:20:18,2024-10-16,20:20:18,East
15,37.5109283,22.3859483,1729099544000,10.0,0.0,5.23,2024-10-16 20:25:44,2024-10-16,20:25:44,Northwest
15,37.51096,22.385855,1729099553000,20.0,0.0,5.241,2024-10-16 20:25:53,2024-10-16,20:25:53,West
15,37.5109716,22.385605,1729099556000,34.0,0.0,5.242,2024-10-16 20:25:56,2024-10-16,20:25:56,West
15,37.510995,22.3853766,1729099558000,41.0,0.0,5.238,2024-10-16 20:25:58,2024-10-16,20:25:58,West
15,37.5110616,22.3851133,1729099560000,44.0,0.0,5.236,2024-10-16 20:26:00,2024-10-16,20:26:00,West
