id,type,name,building_type,coordinates
1074927207,way,Unnamed Roof,roof,"[{""lat"": 37.5021283, ""lon"": 22.3742678}, {""lat"": 37.50208, ""lon"": 22.3743229}, {""lat"": 37.5020258, ""lon"": 22.3742473}, {""lat"": 37.5020742, ""lon"": 22.3741922}, {""lat"": 37.5021283, ""lon"": 22.3742678}]"
1074927208,way,Unnamed Roof,roof,"[{""lat"": 37.5072196, ""lon"": 22.3791769}, {""lat"": 37.5071365, ""lon"": 22.3794518}, {""lat"": 37.5070811, ""lon"": 22.3793589}, {""lat"": 37.5071467, ""lon"": 22.3791418}, {""lat"": 37.5072196, ""lon"": 22.3791769}]"
1074927210,way,Unnamed Roof,roof,"[{""lat"": 37.5086466, ""lon"": 22.3818669}, {""lat"": 37.5086099, ""lon"": 22.3819173}, {""lat"": 37.5085463, ""lon"": 22.3818438}, {""lat"": 37.5085831, ""lon"": 22.3817933}, {""lat"": 37.5086466, ""lon"": 22.3818669}]"
1074927212,way,Unnamed Roof,roof,"[{""lat"": 37.5095441, ""lon"": 22.3808701}, {""lat"": 37.5095454, ""lon"": 22.3809718}, {""lat"": 37.5094503, ""lon"": 22.3809737}, {""lat"": 37.5094489, ""lon"": 22.3808721}, {""lat"": 37.5095441, ""lon"": 22.3808701}]"
1074934025,way,Unnamed Roof,roof,"[{""lat"": 37.5087598, ""lon"": 22.3842386}, {""lat"": 37.5087067, ""lon"": 22.3842202}, {""lat"": 37.508729, ""lon"": 22.3841178}, {""lat"": 37.5087821, ""lon"": 22.3841362}, {""lat"": 37.5087598, ""lon"": 22.3842386}]"
1074934026,way,Unnamed Roof,roof,"[{""lat"": 37.5085398, ""lon"": 22.3851063}, {""lat"": 37.5085086, ""lon"": 22.3852224}, {""lat"": 37.508433, ""lon"": 22.3851901}, {""lat"": 37.5084641, ""lon"": 22.385074}, {""lat"": 37.5085398, ""lon"": 22.3851063}]"
1074934027,way,Unnamed Roof,roof,"[{""lat"": 37.5081128, ""lon"": 22.386716}, {""lat"": 37.5080842, ""lon"": 22.3868261}, {""lat"": 37.5080087, ""lon"": 22.386795}, {""lat"": 37.5080373, ""lon"": 22.3866849}, {""lat"": 37.5081128, ""lon"": 22.386716}]"
1074934028,way,Unnamed Roof,roof,"[{""lat"": 37.507606, ""lon"": 22.3886304}, {""lat"": 37.5075804, ""lon"": 22.3887366}, {""lat"": 37.5074956, ""lon"": 22.3887042}, {""lat"": 37.5075212, ""lon"": 22.388598}, {""lat"": 37.507606, ""lon"": 22.3886304}]"
1074934029,way,Unnamed Roof,roof,"[{""lat"": 37.507565, ""lon"": 22.3896831}, {""lat"": 37.5075451, ""lon"": 22.3897715}, {""lat"": 37.5074779, ""lon"": 22.3897475}, {""lat"": 37.5074978, ""lon"": 22.389659}, {""lat"": 37.507565, ""lon"": 22.3896831}]"
1074934030,way,Unnamed Roof,roof,"[{""lat"": 37.5055222, ""lon"": 22.3970472}, {""lat"": 37.505498, ""lon"": 22.3971475}, {""lat"": 37.5054165, ""lon"": 22.3971163}, {""lat"": 37.5054406, ""lon"": 22.397016}, {""lat"": 37.5055222, ""lon"": 22.3970472}]"
