name,highway,coordinates
Unnamed Road,service,"[{""lat"": 37.5382896, ""lon"": 22.4014784}, {""lat"": 37.5383092, ""lon"": 22.4014617}, {""lat"": 37.5383161, ""lon"": 22.4014516}, {""lat"": 37.5383268, ""lon"": 22.4014208}, {""lat"": 37.5383353, ""lon"": 22.401398}, {""lat"": 37.5383449, ""lon"": 22.4013618}, {""lat"": 37.5383544, ""lon"": 22.4012947}, {""lat"": 37.5383576, ""lon"": 22.4012344}, {""lat"": 37.5383597, ""lon"": 22.4011794}, {""lat"": 37.5383507, ""lon"": 22.4011324}, {""lat"": 37.5383364, ""lon"": 22.4011056}]"
Unnamed Road,service,"[{""lat"": 37.5380641, ""lon"": 22.4013872}, {""lat"": 37.5381003, ""lon"": 22.4014167}, {""lat"": 37.5381258, ""lon"": 22.4014342}, {""lat"": 37.5381503, ""lon"": 22.401453}, {""lat"": 37.5382013, ""lon"": 22.4014744}, {""lat"": 37.5382406, ""lon"": 22.4014825}, {""lat"": 37.5382608, ""lon"": 22.4014838}, {""lat"": 37.5382896, ""lon"": 22.4014784}]"
Unnamed Road,service,"[{""lat"": 37.5413103, ""lon"": 22.3915128}, {""lat"": 37.5412448, ""lon"": 22.3917299}]"
Unnamed Road,service,"[{""lat"": 37.5583596, ""lon"": 22.4028246}, {""lat"": 37.5582761, ""lon"": 22.4031629}, {""lat"": 37.5582591, ""lon"": 22.4032581}, {""lat"": 37.5582622, ""lon"": 22.403293}, {""lat"": 37.5582856, ""lon"": 22.4033238}, {""lat"": 37.5583165, ""lon"": 22.4033412}, {""lat"": 37.5583547, ""lon"": 22.403364}, {""lat"": 37.5583664, ""lon"": 22.4034056}, {""lat"": 37.5583675, ""lon"": 22.4034901}, {""lat"": 37.5583664, ""lon"": 22.4035491}, {""lat"": 37.5583515, ""lon"": 22.4036564}]"
Unnamed Road,track,"[{""lat"": 37.5434757, ""lon"": 22.3919284}, {""lat"": 37.5435278, ""lon"": 22.3918359}, {""lat"": 37.5436756, ""lon"": 22.3914684}, {""lat"": 37.5438851, ""lon"": 22.3908716}, {""lat"": 37.5439531, ""lon"": 22.3906799}, {""lat"": 37.5440244, ""lon"": 22.3904827}, {""lat"": 37.5441339, ""lon"": 22.3902051}, {""lat"": 37.5441679, ""lon"": 22.3900804}]"
Unnamed Road,service,"[{""lat"": 37.543413, ""lon"": 22.3925085}, {""lat"": 37.543389, ""lon"": 22.3925742}, {""lat"": 37.5433752, ""lon"": 22.3926399}, {""lat"": 37.5433603, ""lon"": 22.3927009}, {""lat"": 37.5433534, ""lon"": 22.3927425}, {""lat"": 37.5433502, ""lon"": 22.392835}, {""lat"": 37.5433348, ""lon"": 22.3929011}]"
Unnamed Road,service,"[{""lat"": 37.5430865, ""lon"": 22.3913839}, {""lat"": 37.543414, ""lon"": 22.3917004}, {""lat"": 37.5434566, ""lon"": 22.3917916}, {""lat"": 37.5434736, ""lon"": 22.3918399}, {""lat"": 37.5434757, ""lon"": 22.3919284}]"
Unnamed Road,service,"[{""lat"": 37.5419296, ""lon"": 22.3914309}, {""lat"": 37.5417616, ""lon"": 22.3918299}]"
Unnamed Road,service,"[{""lat"": 37.5421539, ""lon"": 22.3915543}, {""lat"": 37.5421678, ""lon"": 22.3915784}, {""lat"": 37.5421741, ""lon"": 22.391616}, {""lat"": 37.5421731, ""lon"": 22.3916857}, {""lat"": 37.5421625, ""lon"": 22.3917299}, {""lat"": 37.5421242, ""lon"": 22.3918386}, {""lat"": 37.5420401, ""lon"": 22.3920215}]"
Unnamed Road,service,"[{""lat"": 37.540593, ""lon"": 22.391025}, {""lat"": 37.5405621, ""lon"": 22.3911935}, {""lat"": 37.5405525, ""lon"": 22.3912874}, {""lat"": 37.5405504, ""lon"": 22.3913437}, {""lat"": 37.5405323, ""lon"": 22.3914349}, {""lat"": 37.5405121, ""lon"": 22.3915315}, {""lat"": 37.5405121, ""lon"": 22.3915744}, {""lat"": 37.5405121, ""lon"": 22.3916119}, {""lat"": 37.5405163, ""lon"": 22.3916481}, {""lat"": 37.5405206, ""lon"": 22.391679}, {""lat"": 37.5405217, ""lon"": 22.3917367}, {""lat"": 37.5405195, ""lon"": 22.3917916}, {""lat"": 37.5405046, ""lon"": 22.3918547}, {""lat"": 37.5404812, ""lon"": 22.3919405}]"
